id_contrat,code_regle,nom_regle,description,detail,score_risque,niveau,source,date_detection
BA000369,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000376,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 87 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000376,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000376,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Destination fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000376,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000376,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Cayman Islands,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000376,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000377,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000377,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000385,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000398,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000399,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000399,R06,Score LC189 élevé,Score LC 18/9 supérieur à 15,Score LC 18/9 = 18 > 15,0.7,HIGH,LC 18/9 — Seuil HIGH,2026-08-06
BA000399,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000401,R05,PEP avec rachat,Client PEP effectuant un rachat,Client PEP (PPE1) avec 1 rachat(s),0.85,HIGH,Procédure AML — Vigilance renforcée PEP,2026-08-06
BA000402,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 87 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000402,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000402,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Origine fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000402,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000402,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000416,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000417,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000421,R05,PEP avec rachat,Client PEP effectuant un rachat,Client PEP (PPE1) avec 1 rachat(s),0.85,HIGH,Procédure AML — Vigilance renforcée PEP,2026-08-06
BA000429,R12,Arbitrage vers fonds offshore,Arbitrage vers un fonds dans une juridiction à risque,Arbitrage vers fonds suspect : PE_CAY_01,0.75,HIGH,LC 18/9 — Questions I35/I36,2026-08-06
BA000432,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 88 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000432,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000432,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Origine fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000432,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000432,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000440,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000443,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 33 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000443,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000443,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000443,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Panama,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000443,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000446,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000450,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000465,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000469,R12,Arbitrage vers fonds offshore,Arbitrage vers un fonds dans une juridiction à risque,Arbitrage vers fonds suspect : PE_CAY_01,0.75,HIGH,LC 18/9 — Questions I35/I36,2026-08-06
BA000473,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000478,R05,PEP avec rachat,Client PEP effectuant un rachat,Client PEP (PPE1) avec 1 rachat(s),0.85,HIGH,Procédure AML — Vigilance renforcée PEP,2026-08-06
BA000485,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000486,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000488,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000505,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000508,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000515,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000516,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000524,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000527,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000530,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 40 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000530,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000530,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Destination fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000530,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000530,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Hong Kong,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000530,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000537,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 64 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000537,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000537,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000537,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Hong Kong,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000537,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000537,R10,Rachats multiples,Plus de 2 rachats sur les 2 dernières années,3 rachats sur les 2 dernières années,0.65,MEDIUM,LC 18/9 — Question I44,2026-08-06
BA000542,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000553,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 60 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000553,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000553,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Destination fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000553,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000553,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Hong Kong,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000553,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000570,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000574,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000580,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000590,R12,Arbitrage vers fonds offshore,Arbitrage vers un fonds dans une juridiction à risque,Arbitrage vers fonds suspect : PE_CAY_01,0.75,HIGH,LC 18/9 — Questions I35/I36,2026-08-06
BA000591,R06,Score LC189 élevé,Score LC 18/9 supérieur à 15,Score LC 18/9 = 16 > 15,0.7,HIGH,LC 18/9 — Seuil HIGH,2026-08-06
BA000592,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 70 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000592,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000592,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000592,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : United Arab Emirates,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000592,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000598,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000599,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000608,R12,Arbitrage vers fonds offshore,Arbitrage vers un fonds dans une juridiction à risque,Arbitrage vers fonds suspect : PE_CAY_01,0.75,HIGH,LC 18/9 — Questions I35/I36,2026-08-06
BA000611,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Origine fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000611,R06,Score LC189 élevé,Score LC 18/9 supérieur à 15,Score LC 18/9 = 47 > 15,0.7,HIGH,LC 18/9 — Seuil HIGH,2026-08-06
BA000613,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000617,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000620,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000621,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Origine fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000621,R06,Score LC189 élevé,Score LC 18/9 supérieur à 15,Score LC 18/9 = 39 > 15,0.7,HIGH,LC 18/9 — Seuil HIGH,2026-08-06
BA000627,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000631,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 72 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000631,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000631,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Origine fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000631,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000631,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000632,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000632,R10,Rachats multiples,Plus de 2 rachats sur les 2 dernières années,3 rachats sur les 2 dernières années,0.65,MEDIUM,LC 18/9 — Question I44,2026-08-06
BA000633,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 37 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000633,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000633,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000633,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Panama,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000633,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000636,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000639,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000639,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000640,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000643,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000657,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 50 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000657,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000657,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000657,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : United Arab Emirates,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000657,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000660,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000669,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 53 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000669,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000669,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000669,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Cayman Islands,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000669,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000672,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000679,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000691,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 32 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000691,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000691,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000691,R06,Score LC189 élevé,Score LC 18/9 supérieur à 15,Score LC 18/9 = 16 > 15,0.7,HIGH,LC 18/9 — Seuil HIGH,2026-08-06
BA000691,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Panama,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000691,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000696,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000698,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Origine fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000698,R06,Score LC189 élevé,Score LC 18/9 supérieur à 15,Score LC 18/9 = 39 > 15,0.7,HIGH,LC 18/9 — Seuil HIGH,2026-08-06
BA000701,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 33 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000701,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000701,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Origine fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000701,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000701,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000702,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000702,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000705,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000707,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000715,R12,Arbitrage vers fonds offshore,Arbitrage vers un fonds dans une juridiction à risque,Arbitrage vers fonds suspect : PE_CAY_01,0.75,HIGH,LC 18/9 — Questions I35/I36,2026-08-06
BA000716,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000720,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 50 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000720,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000720,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000720,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Panama,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000720,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000722,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000724,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000725,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000725,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000726,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000728,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 47 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000728,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000728,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Origine fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000728,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000728,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000732,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 65 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000732,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000732,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000732,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : United Arab Emirates,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000732,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000735,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000739,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000741,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000747,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000750,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 43 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000750,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000750,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
